mat_path,mat_ts,camera_path,camera_ts
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:50.390000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:50.377938
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:50.519000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:50.534028
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:50.649000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:50.659285
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:50.778000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:50.786820
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:50.940000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:50.954008
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:51.102000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:51.095587
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:51.231000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:51.228455
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:51.393000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:51.380809
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:51.490000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:51.501765
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:51.620000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:51.634382
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:51.813000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:51.805607
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:51.942000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:51.940150
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:52.072000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:52.062722
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:52.266000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:52.254169
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:52.330000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:52.335469
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:52.363000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:52.770957
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:11.557000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:11.454743
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:11.590000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:11.604595
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:11.752000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:11.754404
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:11.914000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:11.899879
../2025-07-03/pm_adl/s/3dalss.csv,2024-06-11T09:57:12.076000+01:00,../2025-07-03/ir_adl/s/3dalss,2024-06-11T09:57:12.060817
