mat_file,mat_start,mat_end,mat_index,camera_index,camera_start,camera_end,camera_file
"../2025-07-03/pm_fall/fsl/18dpfsl","2024-06-12T14:16:53","2024-06-12T14:17:01",18dpfsl,18dpfsl,"2024-06-12T13:16:52","2024-06-12T14:17:03","../2025-07-03/ir_fall/fsl/18dpfsl"
"../2025-07-03/pm_fall/fsr/19dpfsr","2024-06-12T14:17:40","2024-06-12T14:17:47",19dpfsr,19dpfsr,"2024-06-12T13:17:38","2024-06-12T14:17:49","../2025-07-03/ir_fall/fsr/19dpfsr"
"../2025-07-03/pm_fall/fsr/20dpfsr","2024-06-12T14:18:31","2024-06-12T14:18:38",20dpfsr,20dpfsr,"2024-06-12T13:18:30","2024-06-12T14:18:40","../2025-07-03/ir_fall/fsr/20dpfsr"
"../2025-07-03/pm_fall/fsr/21dpfsr","2024-06-12T14:19:16","2024-06-12T14:19:23",21dpfsr,21dpfsr,"2024-06-12T13:19:16","2024-06-12T14:19:25","../2025-07-03/ir_fall/fsr/21dpfsr"
"../2025-07-03/pm_fall/fsr/22dpfsr","2024-06-12T14:20:02","2024-06-12T14:20:10",22dpfsr,22dpfsr,"2024-06-12T13:20:02","2024-06-12T14:20:12","../2025-07-03/ir_fall/fsr/22dpfsr"
"../2025-07-03/pm_fall/fsr/23dpfsr","2024-06-12T14:20:53","2024-06-12T14:20:59",23dpfsr,23dpfsr,"2024-06-12T13:20:52","2024-06-12T14:21:01","../2025-07-03/ir_fall/fsr/23dpfsr"
"../2025-07-03/pm_fall/fsr/24dpfsr","2024-06-12T14:21:45","2024-06-12T14:21:52",24dpfsr,24dpfsr,"2024-06-12T13:21:44","2024-06-12T14:21:55","../2025-07-03/ir_fall/fsr/24dpfsr"
"../2025-07-03/pm_fall/fe/25dpfe","2024-06-12T14:22:37","2024-06-12T14:22:44",25dpfe,25dpfe,"2024-06-12T13:22:38","2024-06-12T14:22:47","../2025-07-03/ir_fall/fe/25dpfe"
"../2025-07-03/pm_fall/fe/26dpfe","2024-06-12T14:23:31","2024-06-12T14:23:38",26dpfe,26dpfe,"2024-06-12T13:23:32","2024-06-12T14:23:40","../2025-07-03/ir_fall/fe/26dpfe"
"../2025-07-03/pm_fall/sp/27dpsp","2024-06-12T14:24:37","2024-06-12T14:24:44",27dpsp,27dpsp,"2024-06-12T13:24:36","2024-06-12T14:24:46","../2025-07-03/ir_fall/sp/27dpsp"
"../2025-07-03/pm_fall/sp/28dpsp","2024-06-12T14:25:29","2024-06-12T14:25:36",28dpsp,28dpsp,"2024-06-12T13:25:28","2024-06-12T14:25:38","../2025-07-03/ir_fall/sp/28dpsp"
"../2025-07-03/pm_fall/yo/29dpyo","2024-06-12T14:26:23","2024-06-12T14:26:31",29dpyo,29dpyo,"2024-06-12T13:26:22","2024-06-12T14:26:34","../2025-07-03/ir_fall/yo/29dpyo"
"../2025-07-03/pm_fall/sp/30dpsp","2024-06-12T14:27:21","2024-06-12T14:27:27",30dpsp,30dpsp,"2024-06-12T13:27:20","2024-06-12T14:27:29","../2025-07-03/ir_fall/sp/30dpsp"
