"2024-06-12T13:56:44","2024-06-12T13:56:49","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/12IRF","12IRF"
"2024-06-12T14:11:12","2024-06-12T14:11:16","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/13IRF","13IRF"
"2024-06-12T14:12:04","2024-06-12T14:12:02","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/14IRF","14IRF"
"2024-06-12T14:14:30","2024-06-12T14:14:32","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/15IRF","15IRF"
"2024-06-12T14:15:28","2024-06-12T14:15:26","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/16IRF","16IRF"
"2024-06-12T14:16:05","2024-06-12T14:16:16","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/17IRF","17IRF"
"2024-06-12T14:16:53","2024-06-12T14:16:54","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/18IRF","18IRF"
"2024-06-12T14:17:42","2024-06-12T14:17:38","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/19IRF","19IRF"
"2024-06-12T14:18:30","2024-06-12T14:18:40","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/20IRF","20IRF"
"2024-06-12T14:19:15","2024-06-12T14:19:21","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/21IRF","21IRF"
"2024-06-12T14:20:10","2024-06-12T14:20:11","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/22IRF","22IRF"
"2024-06-12T14:20:55","2024-06-12T14:20:59","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/23IRF","23IRF"
"2024-06-12T14:21:44","2024-06-12T14:21:44","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/24IRF","24IRF"
"2024-06-12T14:22:38","2024-06-12T14:22:44","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/25IRF","25IRF"
"2024-06-12T14:23:31","2024-06-12T14:23:39","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/26IRF","26IRF"
"2024-06-12T14:24:37","2024-06-12T14:24:36","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/27IRF","27IRF"
"2024-06-12T14:25:37","2024-06-12T14:25:27","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/28IRF","28IRF"
"2024-06-12T14:26:28","2024-06-12T14:26:30","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/29IRF","29IRF"
"2024-06-12T14:27:28","2024-06-12T14:27:25","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/30IRF","30IRF"
"2024-06-12T14:28:17","2024-06-12T14:28:11","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/31IRF","31IRF"
"2024-06-12T14:29:19","2024-06-12T14:29:17","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/32IRF","32IRF"
"2024-06-12T14:30:11","2024-06-12T14:30:15","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/33IRF","33IRF"
"2024-06-12T14:31:48","2024-06-12T14:31:48","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/34IRF","34IRF"
"2024-06-12T14:34:28","2024-06-12T14:34:24","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/35IRF","35IRF"
"2024-06-12T14:35:49","2024-06-12T14:35:46","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/36IRF","36IRF"
"2024-07-09T10:23:10","2024-07-09T10:23:11","data/camera_data/Pablo/Falls IR/PDRIRF01","PDRIRF01"
"2024-07-09T10:29:05","2024-07-09T10:29:04","data/camera_data/Pablo/Falls IR/PDRIRF12","PDRIRF12"
"2024-07-09T10:31:53","2024-07-09T10:36:41","data/camera_data/Pablo/Falls IR/PDRIRF31","PDRIRF31"
"2024-07-09T10:35:52","2024-07-09T10:30:48","data/camera_data/Pablo/Falls IR/PDRIRF23","PDRIRF23"
"2024-07-09T10:37:36","2024-07-09T10:37:41","data/camera_data/Pablo/Falls IR/PDRIRF32","PDRIRF32"
"2024-07-09T10:38:35","2024-07-09T10:38:28","data/camera_data/Pablo/Falls IR/PDRIRF33","PDRIRF33"
"2024-07-09T10:39:36","2024-07-09T10:39:35","data/camera_data/Pablo/Falls IR/PDRIRF34","PDRIRF34"
"2024-07-09T10:40:29","2024-07-09T10:40:31","data/camera_data/Pablo/Falls IR/PDRIRF35","PDRIRF35"
"2024-07-09T10:42:07","2024-07-09T10:42:03","data/camera_data/Pablo/Falls IR/PDRIRF36","PDRIRF36"
"2024-07-09T10:43:54","2024-07-09T10:43:52","data/camera_data/Pablo/Falls IR/PDRIRF02","PDRIRF02"
"2024-07-09T10:45:01","2024-07-09T10:45:02","data/camera_data/Pablo/Falls IR/PDRIRF03","PDRIRF03"
"2024-07-09T10:45:59","2024-07-09T10:46:00","data/camera_data/Pablo/Falls IR/PDRIRF04","PDRIRF04"
"2024-07-09T10:46:51","2024-07-09T10:46:51","data/camera_data/Pablo/Falls IR/PDRIRF05","PDRIRF05"
"2024-07-09T10:47:50","2024-07-09T10:47:48","data/camera_data/Pablo/Falls IR/PDRIRF06","PDRIRF06"
"2024-07-09T10:48:46","2024-07-09T10:48:49","data/camera_data/Pablo/Falls IR/PDRIRF07","PDRIRF07"
"2024-07-09T10:49:51","2024-07-09T10:49:49","data/camera_data/Pablo/Falls IR/PDRIRF08","PDRIRF08"
"2024-07-09T10:50:55","2024-07-09T10:50:50","data/camera_data/Pablo/Falls IR/PDRIRF09","PDRIRF09"
"2024-07-09T10:51:55","2024-07-09T10:51:52","data/camera_data/Pablo/Falls IR/PDRIRF10","PDRIRF10"
"2024-07-09T10:53:13","2024-07-09T10:53:14","data/camera_data/Pablo/Falls IR/PDRIRF15","PDRIRF15"
"2024-07-09T10:54:08","2024-07-09T10:54:06","data/camera_data/Pablo/Falls IR/PDRIRF16","PDRIRF16"
"2024-07-09T10:54:53","2024-07-09T10:54:57","data/camera_data/Pablo/Falls IR/PDRIRF17","PDRIRF17"
"2024-07-09T11:05:37","2024-07-09T11:05:37","data/camera_data/Pablo/Falls IR/PDRIRF11","PDRIRF11"
"2024-07-09T11:06:22","2024-07-09T11:06:21","data/camera_data/Pablo/Falls IR/PDRIRF13","PDRIRF13"
"2024-07-09T11:07:10","2024-07-09T11:07:07","data/camera_data/Pablo/Falls IR/PDRIRF14","PDRIRF14"
